1,223,205,165,165
2,403,205,165,165
3,583,205,165,165
4,764,205,165,165
5,943,205,165,165
6,1123,205,165,165
7,1302,205,165,165
8,1481,205,165,165
9,1661,205,165,165
0,1840,205,165,165
q,313,380,165,165
w,493,380,165,165
e,673,380,165,165
r,853,380,165,165
t,1033,380,165,165
y,1213,380,165,165
u,1393,380,165,165
i,1573,380,165,165
o,1753,380,165,165
p,1933,380,165,165
caps,40,555,310,165
a,358,555,165,165
s,538,555,165,165
d,718,555,165,165
f,898,555,165,165
f,1078,555,165,165
g,1258,555,165,165
h,1438,555,165,165
j,1618,555,165,165
k,1798,555,165,165
l,1978,555,165,165
;,2135,555,165,165
z,450,730,165,165
x,630,730,165,165
c,810,730,165,165
c,990,730,165,165
v,1170,730,165,165
b,1350,730,165,165
n,1530,730,165,165
m,1710,730,165,165
,,1890,730,165,165
.,2070,730,165,165
/,2250,730,165,165
